"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
70,"NCT03383978","Intracranial Injection of NK-92/5.28.z Cells in Patients With Recurrent HER2-positive Glioblastoma","CAR2BRAIN","Recruiting","No Results Available","Glioblastoma","Biological: NK-92/5.28.z","Number of participants with treatment-related adverse events as assessed by CTCAE v4.03.|Maximum tolerated dose (MTD) or maximum feasible dose (MFD).|Period of detectability of NK-92/5.28.z cells in blood and cerebrospinal fluid (CSF) during the first 24 weeks after NK-92/5.28.z application with qPCR.|Cytokine profile in the blood and the cerebrospinal fluid.|NK-92- and/or CAR 5.28.z-directed immune response.|Objective response rate.|Progression-free survival.|Overall survival.","Johann Wolfgang Goethe University Hospital|DRK Blutspendedienst Baden-Württemberg-Hessen gGmbH|Georg-Speyer-Haus|LOEWE Center for Cell and Gene Therapy","All","18 Years and older   (Adult, Older Adult)","Phase 1","30","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","EudraCT 2016-000225-39","December 1, 2017","February 2020","August 2020","December 27, 2017",,"May 16, 2019","Johann W. Goethe University Hospital, Department of Neurosurgery, Frankfurt, Germany|Johann W. Goethe University Hospital, Senckenberg Institute of Neurooncology, Frankfurt, Germany",,"https://ClinicalTrials.gov/show/NCT03383978"
71,"NCT04006119","Study of Ad-RTS-hIL-12 + Veledimex in Combination With Cemiplimab in Subjects With Recurrent or Progressive Glioblastoma",,"Recruiting","No Results Available","Glioblastoma","Biological: Ad-RTS-hIL-12|Drug: Veledimex|Drug: Cemiplimab-Rwlc","Safety of intratumoral Ad-RTS-hIL-12 and oral veledimex in combination with cemiplimab-rwlc in subjects with recurrent or progressive glioblastoma.|Efficacy of intratumoral Ad-RTS-hIL-12 and oral veledimex in combination with cemiplimab-rwlc in subjects with recurrent or progressive glioblastoma.|To determine the survival rates at 6, 12, 18 and 24 months|To determine the progression free survival (PFS)|To determine the rate of pseudoprogression (PSP) at 6, 12, 18 and 24 months|To determine the Investigator's assessment of response, including tumor objective response rate (ORR) at 6, 12, 18 and 24 months|To determine the tumor response rates at 6, 12, 18 and 24 months|Changes from baseline in cellular responses elicited by Ad-RTS-hIL-12 and veledimex in combination with cemiplimab-rwlc|Changes from baseline in humoral immune responses elicited by Ad-RTS-hIL-12 and veledimex in combination with cemiplimab-rwlc","Ziopharm","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","30","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ATI001-204","August 1, 2019","June 2022","August 2022","July 2, 2019",,"February 11, 2020","Cedars Sinai, Los Angeles, California, United States|University of California - San Francisco, San Francisco, California, United States|Baptist MD Anderson Cancer Center, Jacksonville, Florida, United States|Northwestern Memorial Hospital, Chicago, Illinois, United States|Brigham and Women's, Boston, Massachusetts, United States|JFK Medical Center, Edison, New Jersey, United States|NYU Langone Health, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04006119"
72,"NCT03382977","Study to Evaluate Safety, Tolerability, and Optimal Dose of Candidate GBM Vaccine VBI-1901 in Recurrent GBM Subjects",,"Recruiting","No Results Available","Glioblastoma Multiforme","Biological: VBI-1901","Dose limiting toxicity (DLT) occurring during Part A of the study and the occurrence of AEs during each treatment cycle in both Part A and Part B of the study|Immunogenicity and optimal vaccine-induced immunity-serum IgG anti-gB antibodies (Part A and B)|Cellular immunity against HCMV gB and pp65 antigens (Part A and B)|Changes in frequencies of myeloid suppressor cells and regulatory T cells (Part A and B)|Progression free survival (PFS) (Part A and B)|Overall survival (OS) (Part A and B)|Median overall survival (Part A and B)|Reduction in steroid use compared to baseline (Part A and B)|Change in quality of life (QOL questionnaire) compared to baseline (Part A and B)|Immunogenicity of the optimal dose of VBI-1901 formulated with either GM-CSF or AS01B adjuvants (Part B).","VBI Vaccines Inc.","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1|Phase 2","38","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","VBI-1901-01","December 6, 2017","October 2020","November 2020","December 26, 2017",,"December 3, 2019","Massachusetts General Hospital, Boston, Massachusetts, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|The Neurological Institute of New York Columbia University Medical Center, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT03382977"
73,"NCT02942264","Zotiraciclib (TG02) Plus Dose-Dense or Metronomic Temozolomide Followed by Randomized Phase II Trial of Zotiraciclib (TG02) Plus Temozolomide Versus Temozolomide Alone in Adults With Recurrent Anaplastic Astrocytoma and Glioblastoma",,"Recruiting","No Results Available","Brain Tumor|Astrocytoma|Astroglioma|Glioblastoma|Gliosarcoma","Drug: Zotiraciclib (TG02)|Drug: TMZ","Phase I: maximum tolerated dose (MTD) of Zotiraciclib (TG02) plus TMZ using both the dd and mn TMZ schedules in adult patients with recurrent anaplastic astrocytoma or glioblastoma/gliosarcoma.|Phase II: progression free survival in subjects taking Zotiraciclib (TG02) plus TMZ versus TMZ alone in patients with recurrent WHO grade III or IV astrocytoma.","National Cancer Institute (NCI)|National Institutes of Health Clinical Center (CC)","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","152","NIH","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","170009|17-C-0009","December 14, 2016","August 2, 2021","August 2, 2023","October 24, 2016",,"January 13, 2020","National Institutes of Health Clinical Center, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT02942264"
74,"NCT02658981","Anti-LAG-3 Alone & in Combination w/ Nivolumab Treating Patients w/ Recurrent GBM (Anti-CD137 Arm Closed 10/16/18)",,"Recruiting","No Results Available","Glioblastoma|Gliosarcoma|Recurrent Brain Neoplasm","Biological: Anti-LAG-3 Monoclonal Antibody BMS 986016|Biological: Anti-PD-1|Other: Pharmacological Study|Other: Laboratory Biomarker Analysis|Biological: Anti-CD137","Maximum tolerated dose (MTD) of anti-LAG-3 monoclonal antibody BMS-986016 as monotherapy as determined by frequency of toxicity|Maximum tolerated dose (MTD) of anti-CD137 as monotherapy as determined by frequency of toxicity|MTD of Anti-LAG-3 + Anti-PD-1 as determined by frequency of toxicity|MTD of Anti-CD137 + Anti-PD-1 as determined by frequency of toxicity|Overall Survival|Progression-free survival rate|Overall Response, assessed by RANO and iRANO|Overall Response to anti-LAG-3 monoclonal antibody BMS-98601, assessed by RANO and iRANO|Overall Response to anti-CD137 as monotherapy, assessed by RANO and iRANO|Overall Response to Anti-LAG-3 + Anti-PD-1, assessed by RANO and iRANO","Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins|National Cancer Institute (NCI)|Bristol-Myers Squibb","All","18 Years and older   (Adult, Older Adult)","Phase 1","100","Other|NIH|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ABTC 1501|IRB00095527|UM1CA137443","August 2016","August 2020","February 2022","January 20, 2016",,"March 16, 2020","UAB Comprehensive Cancer Center, Birmingham, Alabama, United States|Jonsson Comprehensive Cancer Center at UCLA, Los Angeles, California, United States|Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins, Baltimore, Maryland, United States|Massachusetts General Hospital Cancer Center, Boston, Massachusetts, United States|Dana-Farber/Harvard Cancer Center at Dana Farber Cancer Institute, Boston, Massachusetts, United States|Henry Ford Hospital, Detroit, Michigan, United States|Memorial Sloan-Kettering Cancer Center, New York, New York, United States|Wake Forest University Comprehensive Cancer Center, Winston-Salem, North Carolina, United States|Cleveland Clinic Taussig Cancer Center, Cleveland, Ohio, United States|Abrams Cancer Center of the University of Pennsylvania, Philadelphia, Pennsylvania, United States|Hillman Cancer Center at University of Pittsburgh Cancer Institute, Pittsburgh, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT02658981"
75,"NCT03834740","A Phase 0 /II Study of Ribociclib (LEE011) in Combination With Everolimus in Preoperative Recurrent High-Grade Glioma Patients Scheduled for Resection",,"Recruiting","No Results Available","Glioblastoma Multiforme|Glioma of Brain","Drug: Ribociclib|Drug: Everolimus","Pharmacokinetic analysis -Total and Unbound Ribociclib and Everolimus AUC (0-24)|Pharmacokinetic analysis - Total and Unbound Ribociclib and Everolimus Median concentration Cmax (0-24)|Pharmacokinetic analysis -Median concentration of Total Ribociclib and Everolimus Tmax|Pharmacokinetic analysis - Total Ribociclib and Everolimus T1/2 (0-24)|Pharmacokinetic analysis - Total and Unbound Ribociclib and Everolimus CL/F (0-24)|Median concentration of ribociclib and everolimus for all patients for unbound plasma, CSF, Unbound NE, Unbound enhancing (2-24H post last dose)|The percentage of pRB positive cells will be quantified in resected post-treatment recurrent tumor tissue compared to baseline (archival primary GBM tumor)|The percentage of pS6 positive cells will be quantified in resected post-treatment recurrent tumor tissue compared to baseline (archival primary GBM tumor)|MTD: highest dose of drug that did not cause a DLT in > 33% of participants|Median progression-free survival (PFS) from time of surgery to date of recurrence in Phase 2 patients|Median Overall Survival (OS) from time of surgery to date of recurrence in Phase 2 patients|Number of Adverse Events|Median concentration of trough plasma concentrations of Total Ribociclib and Total Everolimus in Phase 2","St. Joseph's Hospital and Medical Center, Phoenix|Ivy Brain Tumor Center|Barrow Neurological Institute","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","24","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","18-500-311-70-38","December 21, 2018","July 30, 2020","December 31, 2020","February 8, 2019",,"March 10, 2020","Chandler Regional Medical Center, Chandler, Arizona, United States|St. Joseph's Hospital and Medical Center, Phoenix, Arizona, United States",,"https://ClinicalTrials.gov/show/NCT03834740"
76,"NCT01434602","Phase I-II Everolimus and Sorafenib in Recurrent High-Grade Gliomas",,"Recruiting","No Results Available","Brain Tumor|Glioblastoma|Anaplastic Glioma","Drug: everolimus|Drug: sorafenib","Maximum tolerated dose and safety of everolimus in combination with sorafenib for patients with recurrent malignant gliomas|Median Rate of subject survival without disease progression after treatment for glioblastoma patients with no prior bevacizumab exposure|Median Rate of subject survival without disease progression after treatment for glioblastoma patients with prior bevacizumab exposure|Median Rate of subject survival without disease progression after treatment for AG patients with no prior bevacizumab exposure|Median amount of time subject survives without disease progression and the median amount of time a subject survives after therapy|Proportion of subject with tumor size reduction|Rate of patient's symptom severity and interference with function","National Cancer Institute (NCI)|National Institutes of Health Clinical Center (CC)","All","18 Years to 99 Years   (Adult, Older Adult)","Phase 1|Phase 2","118","NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","160011|16-C-0011","April 11, 2016","December 31, 2020","December 31, 2021","September 15, 2011",,"April 30, 2020","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT01434602"
77,"NCT04181684","LITT Followed by Hypofractionated RT for Recurrent Gliomas","GCCC 19140","Recruiting","No Results Available","Glioblastoma|Brain Tumor|Glioma|Neoplasms","Device: Procedure: LITT|Radiation: Hypo-Fractionated Radiation Therapy","Adverse Events|Progression-free survival at 6 months|Median progression-free survival|Median overall survival|1-year overall survival|Overall response rate|Quality of Life before, during, and after treatment","University of Maryland, Baltimore|Keep Punching Foundation","All","22 Years and older   (Adult, Older Adult)","Not Applicable","32","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HP-00088569","January 8, 2020","February 2023","February 2023","November 29, 2019",,"January 27, 2020","University of Maryland Greenebaum Cancer Center, Baltimore, Maryland, United States|UCH Kaufman Cancer Center, Bel Air, Maryland, United States|Central Maryland Radiation Oncology, Columbia, Maryland, United States|Baltimore Washington Medical Center, Glen Burnie, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT04181684"
78,"NCT03657576","Trial of C134 in Patients With Recurrent GBM","C134-HSV-1","Recruiting","No Results Available","Glioblastoma Multiforme of Brain|Anaplastic Astrocytoma of Brain|Gliosarcoma of Brain","Biological: C134","Measure of Treatment-Emergent Adverse Events [Safety and Tolerability]|Measure of Progression Free Survival|Measure Overall Survival|Measurement of HSV titer|Composition of the white blood cells|Measure interferon levels","University of Alabama at Birmingham|Gateway for Cancer Research|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Phase 1","24","Other|NIH","Interventional","Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB-3000000571|R01CA222903","September 23, 2019","September 2022","September 2024","September 5, 2018",,"March 12, 2020","University of Alabama at Birmingham, Birmingham, Alabama, United States",,"https://ClinicalTrials.gov/show/NCT03657576"
79,"NCT02208362","Genetically Modified T-cells in Treating Patients With Recurrent or Refractory Malignant Glioma",,"Recruiting","No Results Available","Malignant Glioma|Refractory Brain Neoplasm|Recurrent Brain Neoplasm|Glioblastoma","Biological: IL13Rα2-specific, hinge-optimized, 41BB-costimulatory CAR/truncated CD19-expressing Autologous T lymphocytes|Other: laboratory biomarker analysis|Other: quality-of-life assessment|Procedure: Magnetic Resonance Imaging|Procedure: Magnetic Resonance Spectroscopic Imaging|Biological: Vaccine Therapy|Other: Laboratory Biomarker Analysis|Other: Quality of Life Assessment","Incidence of grade 3 toxicity, graded using the National Cancer Institute (NCI) Common Toxicity Criteria for Adverse Events (CTCAE) version 4.0, the revised cytokine release syndrome grading system as well as the modified neurological grading system|Incidence of DLT, graded using NCI CTCAE version 4.0|Incidence of toxicities, graded using NCI CTCAE version 4.0 as well as the modified neurological grading system|Changes in largest length of tumor|Changes in cytokine levels|Changes in CAR T cell levels|Progression free survival|Disease response by the Response Assessment in Neuro-Oncology criteria|Overall survival (OS)|Changes in quality of life|T cell detection in tumor|IL13Ra2 antigen expression levels|Disease response from intraventricular infusion following progression after intracranial infusion (stratum 1 and 2)","City of Hope Medical Center|National Cancer Institute (NCI)|Gateway for Cancer Research|Mustang Bio, Inc.|California Institute for Regenerative Medicine (CIRM)","All","12 Years to 75 Years   (Child, Adult, Older Adult)","Phase 1","92","Other|NIH|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","13384|NCI-2014-01488|R01FD005129","May 18, 2015","May 2020","May 2020","August 5, 2014",,"April 16, 2020","City of Hope Medical Center, Duarte, California, United States",,"https://ClinicalTrials.gov/show/NCT02208362"
80,"NCT03849105","131I-IPA + XRT as Treatment for Patients With Glioblastoma Multiforme","IPAX-1","Recruiting","No Results Available","Glioblastoma Multiforme","Radiation: 4-L-[131I]iodo-phenylalanine (131I-IPA)","Safety and tolerability parameter Adverse Events|Safety parameter heart rate|Safety parameter blood pressure|Safety parameter Liver function test|Safety parameter Renal function test|Safety parameter Full Blood Count|To evaluate the maximum tolerated dose (MTD) of 131I -IPA administered concomitantly to 2nd line XRT in recurrent GBM 2|To evaluate the efficacy of a fractionated administration of 131I-IPA|Dosimetry|To explore the antineoplastic effect of 131I-IPA + XRT combination therapy|To explore the occurrence and frequency of pseudo-progression (PP) in response to 131I-IPA + XRT combination therapy|To explore the cognitive function of participants","Telix International Pty Ltd","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","44","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","131I-IPA-TLX-101-001","April 9, 2019","December 31, 2020","December 31, 2021","February 21, 2019",,"August 20, 2019","Lake Macquarie Private Hospital, Gateshead, New South Wales, Australia|Kepler University Clinic, Linz, Austria|Medical University of Vienna, Vienna, Austria|The Netherlands Cancer Institute, Amsterdam, Netherlands|UMC Utrecht Cancer Center, Utrecht, Netherlands",,"https://ClinicalTrials.gov/show/NCT03849105"
81,"NCT01903330","ERC1671/GM-CSF/Cyclophosphamide for the Treatment of Glioblastoma Multiforme",,"Recruiting","No Results Available","Glioblastoma|Gliosarcoma","Drug: ERC1671|Drug: GM-CSF|Drug: Cyclophosphamide|Drug: Oral Control (Sucrose pill)|Drug: Injectable control (Sodium Chloride Injection United States Pharmacopeia (USP) (0.9%))|Drug: Bevacizumab","Safety|Efficacy|Immune Response","Daniela A. Bota|University of California, Irvine|Epitopoietic Research Corporation","All","18 Years and older   (Adult, Older Adult)","Phase 2","84","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","UCI 13-14 ERC1671-H02|UCI 13-14|2013-9863","March 2014","March 2023","March 2023","July 19, 2013",,"November 13, 2019","University of California, Irvine, Orange, California, United States",,"https://ClinicalTrials.gov/show/NCT01903330"
82,"NCT03389230","Memory-Enriched T Cells in Treating Patients With Recurrent or Refractory Grade III-IV Glioma",,"Recruiting","No Results Available","Glioblastoma|HER2/Neu Positive|Malignant Glioma|Recurrent Glioma|Refractory Glioma|WHO Grade III Glioma","Biological: HER2(EQ)BBzeta/CD19t+Tcm cells|Biological: HER2(EQ)BBzeta/CD19t+Tn/mem cells|Other: Laboratory Biomarker Analysis|Procedure: Leukapheresis","Incidence of grade 3 adverse events|Dose limiting toxicities (DLT)|Incidence of adverse events|Chimeric antigen receptor (CAR) T cells detected in tumor cyst fluid, peripheral blood, and cerebrospinal fluid (CSF)|Tumor cyst fluid, peripheral blood, and cerebrospinal fluid (CSF) cytokine levels|Progression free survival|Overall Survival (OS)|Disease response|Chimeric antigen receptor (CAR) T cells detected in tumor tissue|HER2 antigen expression levels in tumor tissue","City of Hope Medical Center|National Cancer Institute (NCI)","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","42","Other|NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","16064|NCI-2017-01755","June 14, 2018","June 14, 2021","June 14, 2021","January 3, 2018",,"April 16, 2020","City of Hope Medical Center, Duarte, California, United States",,"https://ClinicalTrials.gov/show/NCT03389230"
83,"NCT03973918","Study of Binimetinib With Encorafenib in Adults With Recurrent BRAF V600-Mutated HGG","BRAF","Recruiting","No Results Available","High Grade Glioma|BRAF V600E|BRAF V600K|Anaplastic Astrocytoma|Anaplastic Pleomorphic Xanthoastrocytoma|Gliosarcoma|Glioblastoma","Drug: Encorafenib|Drug: Binimetinib|Biological: Research Bloods|Biological: Tumor Tissue","Tumor radiographic response per RANO for 3 treatment cohorts|Progression free survival for 3 treatment cohorts|Overall Survival|Duration of response|Number of participants with adverse events as defined by Common Terminology Criteria for Adverse Events version 5.0 (CTCAE v5.0)","Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins|National Cancer Institute (NCI)|Array BioPharma","All","18 Years and older   (Adult, Older Adult)","Phase 2","62","Other|NIH|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ABTC 1802|UM1CA137443","July 29, 2019","July 2022","July 2023","June 4, 2019",,"March 16, 2020","UAB Comprehensive Cancer Center, Birmingham, Alabama, United States|Jonsson Comprehensive Cancer Center at UCLA, Los Angeles, California, United States|Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins, Baltimore, Maryland, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Henry Ford Hospital, Detroit, Michigan, United States|Memorial Sloan-Kettering Cancer Center, New York, New York, United States|Wake Forest University Comprehensive Cancer Center, Winston-Salem, North Carolina, United States|Cleveland Clinic Taussig Cancer Center, Cleveland, Ohio, United States|Abrams Cancer Center of the University of Pennsylvania, Philadelphia, Pennsylvania, United States|Hillman Cancer Center at University of Pittsburgh Cancer Institute, Pittsburgh, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT03973918"
84,"NCT02885324","Pilot Study of Cabozantinib for Recurrent or Progressive High-Grade Glioma in Children",,"Recruiting","No Results Available","Glioblastoma Multiforme|Anaplastic Astrocytoma|Malignant Brain Tumor|High Grade Glioma","Drug: Cabozantinib","Disease response","Indiana University","All","2 Years to 21 Years   (Child, Adult)","Phase 2","10","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IUSCC-0601","May 18, 2017","July 2021","January 2022","August 31, 2016",,"July 10, 2019","Riley Hospital for Children at IU Health, Indianapolis, Indiana, United States|Riley Hospital for Children at IU Health, Indianapolis, Indiana, United States|Riley Hospital for Children at IU Health, Indianapolis, Indiana, United States",,"https://ClinicalTrials.gov/show/NCT02885324"
